county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status,approved_target_value,note
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,ATV,ATV,63,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,F1,F1,3,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,F2,F2,70,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,NT,NT,29,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,X,X,271,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,0,0,6662,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,100,100,778,,review,P,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,110,110,1,,review,P,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,115,115,99,,review,P,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,200,200,322,,review,I,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,210,210,48,,review,I,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,211,211,3,,review,I,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,213,213,29,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,223,223,5,,review,I,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,300,300,539,,review,N,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,310,310,47,,review,N,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,320,320,61,,review,N,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,355,355,9,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,400,400,6,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,430,430,1,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,450,450,30,,review,,no matching value
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,999,999,9,,review,U,
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,Cr,CR,1,,review,CIR,assuming Circle and not Creek
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,TR,TR,16,,review,TER,assuming Terrace and not Trail
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,0,0,510,,review,,no matching value
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Gravel,GRAVEL,1,,review,I,
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Improv_Agg/gravel,IMPROV_AGG/GRAVEL,33,,review,I,
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Maintain_Native,MAINTAIN_NATIVE,35,,review,N,
