county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,A,A,239,A,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,ATV,ATV,63,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,B,B,688,B,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,C,C,702,C,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,D,D,914,D,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,F,F,5,F,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,F1,F1,3,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,F2,F2,70,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,NT,NT,29,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_CLASS,CLASS,X,X,271,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,0,0,6662,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,100,100,778,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,110,110,1,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,115,115,99,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,200,200,322,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,210,210,48,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,211,211,3,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,213,213,29,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,223,223,5,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,300,300,539,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,310,310,47,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,320,320,61,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,355,355,9,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,400,400,6,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,430,430,1,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,450,450,30,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,DOT_SRFTYP,SURFTYPE,999,999,9,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTDIR,SUFDIR,E,E,144,E,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTDIR,SUFDIR,N,N,212,N,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTDIR,SUFDIR,S,S,166,S,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTDIR,SUFDIR,W,W,250,W,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,AVE,AVE,17,AVE,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,Cir,CIR,10,CIR,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,Cr,CR,1,,review
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,CT,CT,2,CT,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,DR,DR,68,DR,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,FWY,FWY,50,FWY,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,HWY,HWY,81,HWY,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,LN,LN,82,LN,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,LOOP,LOOP,3,LOOP,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,PL,PL,2,PL,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,RAMP,RAMP,13,RAMP,resolved
Beaver,beaver,C:\Mac\Home\Documents\working\utrans\county_obtained\Beaver\BeaverCo_20260604.gdb\Beaver_Roads2025,POSTTYPE,STREETTYPE,RD,RD,308,RD,resolved
